row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
win,16271,2407,6827,1518,0.914666367,0.871131813,0.914666367,0.7393329,0.892368443,,,,
draw,759,1151,23292,1821,0.294186047,0.397382199,0.294186047,0.952910854,0.338084633,,,,
loss,4850,1585,18784,1804,0.728884881,0.753690754,0.728884881,0.922185674,0.741080296,,,,
Overall,,,,,,,,,,0.809680642,0.603180822,,10
win,16498,2362,6872,1291,0.927427062,0.8747614,0.927427062,0.744206194,0.900324702,,,,
draw,786,1024,23419,1794,0.304651163,0.434254144,0.304651163,0.958106615,0.35808656,,,,
loss,4927,1426,18943,1727,0.740456868,0.775539115,0.740456868,0.929991654,0.757592066,,,,
Overall,,,,,,,,,,0.821929467,0.626121542,,20
win,16565,2324,6910,1224,0.931193434,0.87696543,0.931193434,0.748321421,0.903266263,,,,
draw,785,966,23477,1795,0.304263566,0.448315248,0.304263566,0.960479483,0.362502886,,,,
loss,4999,1384,18985,1655,0.751277427,0.783174056,0.751277427,0.932053611,0.766894224,,,,
Overall,,,,,,,,,,0.827036228,0.636254636,,30
win,16578,2312,6922,1211,0.931924223,0.8776072,0.931924223,0.749620966,0.903950489,,,,
draw,804,954,23489,1776,0.311627907,0.457337884,0.311627907,0.960970421,0.370677732,,,,
loss,5030,1345,19024,1624,0.755936279,0.789019608,0.755936279,0.933968285,0.772123724,,,,
Overall,,,,,,,,,,0.829367576,0.641175457,,40
win,16594,2303,6931,1195,0.932823655,0.878128804,0.932823655,0.750595625,0.904650275,,,,
draw,799,965,23478,1781,0.309689922,0.452947846,0.309689922,0.960520394,0.36786372,,,,
loss,5039,1323,19046,1615,0.757288849,0.792046526,0.757288849,0.935048358,0.774277812,,,,
Overall,,,,,,,,,,0.830107686,0.642676789,,50
win,16619,2283,6951,1170,0.934229018,0.87921913,0.934229018,0.752761533,0.905889728,,,,
draw,819,951,23492,1761,0.31744186,0.462711864,0.31744186,0.961093156,0.376551724,,,,
loss,5045,1306,19063,1609,0.758190562,0.794363092,0.758190562,0.935882959,0.77585544,,,,
Overall,,,,,,,,,,0.831994967,0.646614395,,60
win,16625,2280,6954,1164,0.934566305,0.879396985,0.934566305,0.75308642,0.906142694,,,,
draw,812,958,23485,1768,0.314728682,0.458757062,0.314728682,0.960806775,0.373333333,,,,
loss,5039,1309,19060,1615,0.757288849,0.793793321,0.757288849,0.935735677,0.775111521,,,,
Overall,,,,,,,,,,0.831735929,0.646035468,,70
win,16639,2275,6959,1150,0.935353308,0.879718727,0.935353308,0.753627897,0.906683377,,,,
draw,823,935,23508,1757,0.318992248,0.46814562,0.318992248,0.96174774,0.379437529,,,,
loss,5061,1290,19079,1593,0.760595131,0.796882381,0.760595131,0.936668467,0.778316032,,,,
Overall,,,,,,,,,,0.833475188,0.649543688,,80
win,16626,2260,6974,1163,0.93462252,0.880334639,0.93462252,0.755252328,0.906666667,,,,
draw,812,965,23478,1768,0.314728682,0.456949916,0.314728682,0.960520394,0.372733532,,,,
loss,5063,1297,19072,1591,0.760895702,0.796069182,0.760895702,0.936324807,0.778085139,,,,
Overall,,,,,,,,,,0.832661066,0.648224904,,90
win,16644,2257,6977,1145,0.935634381,0.880588329,0.935634381,0.755577215,0.907277187,,,,
draw,805,952,23491,1775,0.312015504,0.458167331,0.312015504,0.961052244,0.371224349,,,,
loss,5081,1284,19085,1573,0.763600842,0.798271799,0.763600842,0.936963032,0.780551502,,,,
Overall,,,,,,,,,,0.833734226,0.650230652,,100
win,16643,2243,6991,1146,0.935578166,0.881234777,0.935578166,0.757093351,0.907593729,,,,
draw,820,967,23476,1760,0.317829457,0.458869614,0.317829457,0.960438571,0.375543852,,,,
loss,5083,1267,19102,1571,0.763901413,0.800472441,0.763901413,0.937797634,0.781759459,,,,
Overall,,,,,,,,,,0.834326315,0.651766381,,150
