row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,epochs
0,4997,5007,0,0,1,0.4995002,1,0,0.666222252,,,,
1,0,0,5764,4240,0,,0,1,,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.4995002,0,,1
0,3768,1866,3141,1229,0.754052431,0.668796592,0.754052431,0.62732175,0.708870285,,,,
1,2546,1824,3940,1694,0.600471698,0.582608696,0.600471698,0.683553088,0.591405343,,,,
2,0,0,9522,482,0,,0,1,,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.631147541,0.308687995,,10
0,4994,60,4947,3,0.99939964,0.988128215,0.99939964,0.988016777,0.993731967,,,,
1,4181,679,5085,59,0.986084906,0.860288066,0.986084906,0.882199861,0.918901099,,,,
3,29,61,9738,176,0.141463415,0.322222222,0.141463415,0.993774875,0.196610169,,,,
2,0,0,9522,482,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.920031987,0.852340377,,50
0,4992,61,4946,5,0.9989994,0.987927964,0.9989994,0.987817056,0.993432836,,,,
1,4173,676,5088,67,0.984198113,0.860589812,0.984198113,0.882720333,0.918252833,,,,
3,28,71,9728,177,0.136585366,0.282828283,0.136585366,0.992754363,0.184210526,,,,
4,0,3,9964,37,0,0,0,0.999699007,NaN,,,,
2,0,0,9522,482,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.918932427,0.85044714,,100
0,4989,59,4948,8,0.998399039,0.988312203,0.998399039,0.988216497,0.993330015,,,,
1,4189,682,5082,51,0.987971698,0.859987682,0.987971698,0.881679389,0.919547799,,,,
3,21,52,9747,184,0.102439024,0.287671233,0.102439024,0.994693336,0.151079137,,,,
4,3,9,9958,34,0.081081081,0.25,0.081081081,0.99909702,0.12244898,,,,
2,0,0,9522,482,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.919832067,0.851934029,,150
0,4980,58,4949,17,0.996597959,0.988487495,0.996597959,0.988416217,0.992526158,,,,
1,4193,679,5085,47,0.988915094,0.860632184,0.988915094,0.882199861,0.920324846,,,,
3,25,46,9753,180,0.12195122,0.352112676,0.12195122,0.995305643,0.18115942,,,,
4,1,18,9949,36,0.027027027,0.052631579,0.027027027,0.99819404,0.035714286,,,,
5,3,1,9981,19,0.136363636,0.75,0.136363636,0.99989982,0.230769231,,,,
2,0,0,9522,482,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.919832067,0.852059053,,200
0,4980,56,4951,17,0.996597959,0.988880064,0.996597959,0.988815658,0.992724011,,,,
1,4197,675,5089,43,0.989858491,0.861453202,0.989858491,0.882893824,0.921202809,,,,
3,28,46,9753,177,0.136585366,0.378378378,0.136585366,0.995305643,0.200716846,,,,
4,1,15,9952,36,0.027027027,0.0625,0.027027027,0.998495034,0.037735849,,,,
5,4,2,9980,18,0.181818182,0.666666667,0.181818182,0.999799639,0.285714286,,,,
2,0,0,9522,482,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.920631747,0.853560279,,250
0,4986,58,4949,11,0.997798679,0.98850119,0.997798679,0.988416217,0.993128174,,,,
1,4193,678,5086,47,0.988915094,0.860808869,0.988915094,0.882373352,0.920425859,,,,
3,25,47,9752,180,0.12195122,0.347222222,0.12195122,0.995203592,0.180505415,,,,
4,1,11,9956,36,0.027027027,0.083333333,0.027027027,0.998896358,0.040816327,,,,
5,4,1,9981,18,0.181818182,0.8,0.181818182,0.99989982,0.296296296,,,,
2,0,0,9522,482,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.920531787,0.853280753,,300
0,4985,58,4949,12,0.997598559,0.988498909,0.997598559,0.988416217,0.993027888,,,,
1,4185,679,5085,55,0.987028302,0.860402961,0.987028302,0.882199861,0.919376098,,,,
3,23,57,9742,182,0.112195122,0.2875,0.112195122,0.99418308,0.161403509,,,,
4,1,9,9958,36,0.027027027,0.1,0.027027027,0.99909702,0.042553191,,,,
5,4,3,9979,18,0.181818182,0.571428571,0.181818182,0.999699459,0.275862069,,,,
2,0,0,9522,482,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.919432227,0.851341359,,400
